t,GDI_QoQ_change_annual
1991-04-01,0.08524622385864777
1991-07-01,0.020545130609720186
1991-10-01,0.08401293155745959
1992-01-01,0.1723299293028009
1992-04-01,0.008876136351192665
1992-07-01,0.05159029135900228
1992-10-01,0.003506105803270154
1993-01-01,0.00560926924458327
1993-04-01,0.06790324876788922
1993-07-01,0.02179970101642148
1993-10-01,0.017546935888766102
1994-01-01,0.075847240950637
1994-04-01,0.019862249739106552
1994-07-01,0.03809974632685398
1994-10-01,0.03771357052664559
1995-01-01,0.04709861488558276
1995-04-01,0.018605385478512426
1995-07-01,0.018407851505993778
1995-10-01,0.01875858424905541
1996-01-01,0.0078786900059713
1996-04-01,0.0058217120283752255
1996-07-01,0.024917617774559142
1996-10-01,0.055302614696176144
1997-01-01,-0.07636792362088163
1997-04-01,0.11048544212401068
1997-07-01,0.020156361705974568
1997-10-01,0.03034428004139178
1998-01-01,0.014089165827401162
1998-04-01,-0.013639950831971226
1998-07-01,0.049264737179595786
1998-10-01,0.03779590008055611
1999-01-01,0.0008808302865190853
1999-04-01,0.03873526774020308
1999-07-01,0.03281679351257005
1999-10-01,0.028702456024497724
2000-01-01,0.07030213159252496
2000-04-01,-0.013599567359020681
2000-07-01,-0.01796690505223919
2000-10-01,0.039404862054832845
2001-01-01,0.0945952414169633
2001-04-01,-0.007813988756252388
2001-07-01,0.008068374261511968
2001-10-01,0.047093400293517274
2002-01-01,-0.05352692455483432
2002-04-01,0.04799546614959693
2002-07-01,0.050357697617110286
2002-10-01,-0.016535621283817137
2003-01-01,-0.03645796307215976
2003-04-01,0.008690309108705607
2003-07-01,0.07897904637082531
2003-10-01,0.004279354562714666
2004-01-01,0.07007080919404496
2004-04-01,0.05532719288518684
2004-07-01,-8.307789760031437e-05
2004-10-01,0.0251021684709396
2005-01-01,-0.04650570286023514
2005-04-01,0.10898601896316928
2005-07-01,-0.010038274183322149
2005-10-01,0.03252439744211877
2006-01-01,0.08097312880949681
2006-04-01,0.0649605893324301
2006-07-01,0.027139323065243914
2006-10-01,0.08178648226922469
2007-01-01,0.06877763780233037
2007-04-01,7.489210852318351e-05
2007-07-01,0.024498288069609853
2007-10-01,0.04599300632135872
2008-01-01,0.0067395316983709375
2008-04-01,0.04681783937962103
2008-07-01,-0.03714974598065934
2008-10-01,-0.053936745942112174
2009-01-01,-0.10893995887352381
2009-04-01,0.01232131808014092
2009-07-01,0.0860555936463343
2009-10-01,0.059020588190431766
2010-01-01,-0.013111291616362486
2010-04-01,0.08084722267104438
2010-07-01,0.06558306683271797
2010-10-01,0.06725767298095553
2011-01-01,0.07347544028257613
2011-04-01,0.02739452228708883
2011-07-01,0.053233650453881065
2011-10-01,0.007867613732194245
2012-01-01,0.029270272495990346
2012-04-01,-0.020358218908710035
2012-07-01,0.02922628350165213
2012-10-01,0.012867188335866642
2013-01-01,-0.015852423129261273
2013-04-01,0.10482220214650062
2013-07-01,0.02144487130586281
2013-10-01,0.014881111786098966
2014-01-01,0.05123179314048465
2014-04-01,0.02965423897942343
2014-07-01,0.05220630275053684
2014-10-01,0.031498689602383
2015-01-01,0.00769613707951744
2015-04-01,0.029970927017975768
2015-07-01,0.07654884527333161
2015-10-01,0.02980604606866466
2016-01-01,0.050376101333649004
2016-04-01,0.07451426457222654
2016-07-01,-0.011384054550145017
2016-10-01,0.038246638212818374
2017-01-01,0.06755312020417659
2017-04-01,0.013441601988518848
2017-07-01,0.05787030201528953
2017-10-01,0.050290557440853645
2018-01-01,0.05922522770104366
2018-04-01,0.05031789330934333
2018-07-01,-0.008825767834097054
2018-10-01,0.06240555703203188
2019-01-01,0.025410162632571787
2019-04-01,0.009060334478059762
2019-07-01,0.055696314071182806
2019-10-01,-0.010190384677097764
2020-01-01,-0.05877024601917602
2020-04-01,-0.305836506472817
2020-07-01,0.32484757904307227
2020-10-01,0.10554510900014158
2021-01-01,0.030870828386957205
2021-04-01,0.09548620913383576
2021-07-01,0.10455045120918127
2021-10-01,0.08123498161839038
2022-01-01,0.10419986641098489
2022-04-01,0.045784313344559235
2022-07-01,0.05053662470612186
2022-10-01,0.07871407045909362
2023-01-01,0.09995126647411023
2023-04-01,0.023923278095252964
2023-07-01,0.035922321273309965
2023-10-01,0.04432830227115536
2024-01-01,0.027588159883134233
2024-04-01,0.035588421365182255
2024-07-01,-0.006982206943650371
2024-10-01,0.019047426900484554
2025-01-01,0.06352421530018848
2025-04-01,0.051144784383040154
2025-07-01,0.014987394119840625
2025-10-01,0.03652256117579178
