t,ifo_bci_services
2005-01-01,6.5
2005-02-01,9.9
2005-03-01,7.1
2005-04-01,8.9
2005-05-01,9.2
2005-06-01,6.4
2005-07-01,5.0
2005-08-01,7.2
2005-09-01,9.9
2005-10-01,8.8
2005-11-01,15.6
2005-12-01,13.8
2006-01-01,18.5
2006-02-01,20.1
2006-03-01,23.1
2006-04-01,20.3
2006-05-01,27.7
2006-06-01,25.0
2006-07-01,26.4
2006-08-01,25.2
2006-09-01,24.9
2006-10-01,25.6
2006-11-01,28.8
2006-12-01,30.8
2007-01-01,28.1
2007-02-01,26.8
2007-03-01,31.1
2007-04-01,35.1
2007-05-01,32.9
2007-06-01,30.8
2007-07-01,31.4
2007-08-01,29.4
2007-09-01,30.9
2007-10-01,32.5
2007-11-01,30.0
2007-12-01,27.8
2008-01-01,30.8
2008-02-01,30.8
2008-03-01,31.3
2008-04-01,31.6
2008-05-01,30.4
2008-06-01,27.4
2008-07-01,17.8
2008-08-01,18.6
2008-09-01,19.6
2008-10-01,13.8
2008-11-01,12.0
2008-12-01,1.8
2009-01-01,3.1
2009-02-01,0.9
2009-03-01,-2.9
2009-04-01,-1.9
2009-05-01,-3.9
2009-06-01,-3.4
2009-07-01,-4.6
2009-08-01,-0.4
2009-09-01,0.4
2009-10-01,0.8
2009-11-01,2.9
2009-12-01,6.0
2010-01-01,3.3
2010-02-01,6.8
2010-03-01,8.1
2010-04-01,16.3
2010-05-01,16.1
2010-06-01,17.6
2010-07-01,21.6
2010-08-01,21.4
2010-09-01,26.6
2010-10-01,28.8
2010-11-01,34.7
2010-12-01,32.8
2011-01-01,32.5
2011-02-01,36.9
2011-03-01,33.7
2011-04-01,37.6
2011-05-01,38.9
2011-06-01,35.1
2011-07-01,39.2
2011-08-01,36.2
2011-09-01,31.9
2011-10-01,33.8
2011-11-01,35.6
2011-12-01,35.8
2012-01-01,33.5
2012-02-01,36.1
2012-03-01,36.3
2012-04-01,39.1
2012-05-01,42.9
2012-06-01,34.8
2012-07-01,30.4
2012-08-01,29.4
2012-09-01,28.9
2012-10-01,28.5
2012-11-01,28.0
2012-12-01,30.8
2013-01-01,30.8
2013-02-01,25.8
2013-03-01,33.1
2013-04-01,24.8
2013-05-01,28.2
2013-06-01,27.4
2013-07-01,33.6
2013-08-01,29.6
2013-09-01,29.8
2013-10-01,31.6
2013-11-01,31.0
2013-12-01,35.6
2014-01-01,38.0
2014-02-01,35.1
2014-03-01,36.7
2014-04-01,41.3
2014-05-01,34.1
2014-06-01,34.8
2014-07-01,35.2
2014-08-01,35.6
2014-09-01,33.6
2014-10-01,30.8
2014-11-01,28.0
2014-12-01,33.8
2015-01-01,34.1
2015-02-01,31.9
2015-03-01,35.1
2015-04-01,38.1
2015-05-01,39.1
2015-06-01,39.4
2015-07-01,39.6
2015-08-01,40.6
2015-09-01,41.4
2015-10-01,39.8
2015-11-01,39.9
2015-12-01,41.0
2016-01-01,39.3
2016-02-01,38.8
2016-03-01,36.3
2016-04-01,39.9
2016-05-01,37.2
2016-06-01,40.4
2016-07-01,37.0
2016-08-01,38.2
2016-09-01,39.9
2016-10-01,38.8
2016-11-01,42.6
2016-12-01,39.8
2017-01-01,40.5
2017-02-01,40.1
2017-03-01,42.1
2017-04-01,44.3
2017-05-01,41.7
2017-06-01,40.0
2017-07-01,47.4
2017-08-01,44.2
2017-09-01,43.9
2017-10-01,46.6
2017-11-01,45.8
2017-12-01,47.8
2018-01-01,50.1
2018-02-01,49.8
2018-03-01,48.1
2018-04-01,46.9
2018-05-01,47.1
2018-06-01,44.4
2018-07-01,44.8
2018-08-01,48.4
2018-09-01,49.9
2018-10-01,47.5
2018-11-01,49.0
2018-12-01,44.8
2019-01-01,45.8
2019-02-01,43.8
2019-03-01,46.7
2019-04-01,48.3
2019-05-01,39.1
2019-06-01,40.0
2019-07-01,40.0
2019-08-01,29.6
2019-09-01,37.8
2019-10-01,35.6
2019-11-01,37.0
2019-12-01,39.6
2020-01-01,40.0
2020-02-01,38.1
2020-03-01,18.1
2020-04-01,-12.9
2020-05-01,-11.9
2020-06-01,-5.4
2020-07-01,0.4
2020-08-01,9.6
2020-09-01,11.4
2020-10-01,8.8
2020-11-01,2.9
2020-12-01,5.0
2021-01-01,4.3
2021-02-01,5.8
2021-03-01,9.1
2021-04-01,7.3
2021-05-01,11.1
2021-06-01,20.6
2021-07-01,22.6
2021-08-01,27.4
2021-09-01,27.6
2021-10-01,27.8
2021-11-01,24.7
2021-12-01,16.8
2022-01-01,14.5
2022-02-01,19.9
2022-03-01,19.9
2022-04-01,23.5
2022-05-01,32.9
2022-06-01,34.0
2022-07-01,29.4
2022-08-01,31.2
2022-09-01,23.9
2022-10-01,20.8
2022-11-01,17.6
2022-12-01,18.8
2023-01-01,17.5
2023-02-01,18.1
2023-03-01,23.1
2023-04-01,22.3
2023-05-01,24.7
2023-06-01,22.8
2023-07-01,17.6
2023-08-01,12.2
2023-09-01,9.9
2023-10-01,13.6
2023-11-01,12.8
2023-12-01,13.8
2024-01-01,7.1
2024-02-01,8.8
2024-03-01,10.3
2024-04-01,15.8
2024-05-01,12.2
2024-06-01,14.4
2024-07-01,13.6
2024-08-01,12.6
2024-09-01,6.8
2024-10-01,13.6
2024-11-01,7.0
2024-12-01,9.6
2025-01-01,14.0
2025-02-01,10.1
2025-03-01,11.7
2025-04-01,12.3
2025-05-01,11.1
2025-06-01,11.8
2025-07-01,10.2
2025-08-01,11.6
2025-09-01,7.6
2025-10-01,7.8
2025-11-01,10.0
2025-12-01,8.8
2026-01-01,8.1
2026-02-01,8.9
