"";BBDL1.Q.DE.Y.UNE.UBA000.A0000.A01.D00.0.R00.A;BBDL1.Q.DE.Y.UNE.UBA000.A0000.A01.D00.0.R00.A_FLAGS
"";Arbeitslosigkeit registriert nach § 16 SGB III / Deutschland / SGB III und SGB II / Quote / kalender- und saisonbereinigt;
Dezimalstellen;1;
Dimension;Eins;
Einheit;Prozent;
Format der Zeitangabe;P3M;
Kategorie;KPBA;
Quelle;Saisonbereinigung basierend auf Ursprungswerten der Bundesagentur für Arbeit.;
Umrechnungsart;Durchschnitt;
Stand vom;27.02.2026 10:05:22 Uhr;
1992-Q1;7,4;
1992-Q2;7,5;
1992-Q3;7,8;
1992-Q4;8,0;
1993-Q1;8,3;
1993-Q2;8,6;
1993-Q3;9,1;
1993-Q4;9,6;
1994-Q1;9,7;
1994-Q2;9,8;
1994-Q3;9,6;
1994-Q4;9,4;
1995-Q1;9,2;
1995-Q2;9,3;
1995-Q3;9,5;
1995-Q4;9,7;
1996-Q1;10,1;
1996-Q2;10,3;
1996-Q3;10,4;
1996-Q4;10,7;
1997-Q1;11,2;
1997-Q2;11,3;
1997-Q3;11,6;
1997-Q4;11,7;
1998-Q1;11,6;
1998-Q2;11,2;
1998-Q3;10,8;
1998-Q4;10,7;
1999-Q1;10,7;
1999-Q2;10,5;
1999-Q3;10,5;
1999-Q4;10,4;
2000-Q1;10,1;
2000-Q2;9,6;
2000-Q3;9,5;
2000-Q4;9,3;
2001-Q1;9,3;
2001-Q2;9,2;
2001-Q3;9,3;
2001-Q4;9,5;
2002-Q1;9,6;
2002-Q2;9,6;
2002-Q3;9,8;
2002-Q4;10,0;
2003-Q1;10,4;
2003-Q2;10,6;
2003-Q3;10,5;
2003-Q4;10,5;
2004-Q1;10,4;
2004-Q2;10,5;
2004-Q3;10,6;
2004-Q4;10,8;
2005-Q1;11,9;
2005-Q2;11,9;
2005-Q3;11,7;
2005-Q4;11,4;
2006-Q1;11,4;
2006-Q2;11,0;
2006-Q3;10,5;
2006-Q4;10,1;
2007-Q1;9,5;
2007-Q2;9,1;
2007-Q3;8,8;
2007-Q4;8,5;
2008-Q1;8,0;
2008-Q2;7,8;
2008-Q3;7,7;
2008-Q4;7,6;
2009-Q1;7,9;
2009-Q2;8,3;
2009-Q3;8,2;
2009-Q4;8,1;
2010-Q1;8,0;
2010-Q2;7,7;
2010-Q3;7,5;
2010-Q4;7,4;
2011-Q1;7,3;
2011-Q2;7,1;
2011-Q3;7,0;
2011-Q4;6,8;
2012-Q1;6,8;
2012-Q2;6,8;
2012-Q3;6,8;
2012-Q4;6,8;
2013-Q1;6,9;
2013-Q2;6,9;
2013-Q3;6,8;
2013-Q4;6,8;
2014-Q1;6,8;
2014-Q2;6,7;
2014-Q3;6,7;
2014-Q4;6,6;
2015-Q1;6,5;
2015-Q2;6,4;
2015-Q3;6,4;
2015-Q4;6,3;
2016-Q1;6,2;
2016-Q2;6,1;
2016-Q3;6,0;
2016-Q4;6,0;
2017-Q1;5,9;
2017-Q2;5,7;
2017-Q3;5,6;
2017-Q4;5,5;
2018-Q1;5,4;
2018-Q2;5,2;
2018-Q3;5,1;
2018-Q4;5,0;
2019-Q1;5,0;
2019-Q2;5,0;
2019-Q3;5,0;
2019-Q4;5,0;
2020-Q1;5,0;
2020-Q2;6,1;
2020-Q3;6,3;
2020-Q4;6,1;
2021-Q1;6,0;
2021-Q2;5,9;
2021-Q3;5,5;
2021-Q4;5,3;
2022-Q1;5,1;
2022-Q2;5,1;
2022-Q3;5,4;
2022-Q4;5,5;
2023-Q1;5,5;
2023-Q2;5,6;
2023-Q3;5,7;
2023-Q4;5,8;
2024-Q1;5,9;
2024-Q2;5,9;
2024-Q3;6,0;
2024-Q4;6,1;
2025-Q1;6,2;
2025-Q2;6,3;
2025-Q3;6,3;
2025-Q4;6,3;
