t,disposable_personal_QoQ_change_annual
1991-04-01,-0.023196432912341525
1991-07-01,-0.039405381713050525
1991-10-01,0.36443784512965194
1992-01-01,0.07494243895426922
1992-04-01,-0.0943004574890769
1992-07-01,0.04581048212321481
1992-10-01,0.25412761966258857
1993-01-01,-0.03029300660392298
1993-04-01,-0.07670362386546259
1993-07-01,0.004573985351700838
1993-10-01,0.2732087766261049
1994-01-01,-0.0249429614318889
1994-04-01,-0.11520792837281735
1994-07-01,0.044488041066295336
1994-10-01,0.23507366938219576
1995-01-01,-0.0584385341777105
1995-04-01,-0.07302650851027936
1995-07-01,0.026398311319289824
1995-10-01,0.20464040938902928
1996-01-01,-0.01972584396819721
1996-04-01,-0.11721332267045181
1996-07-01,0.01851880858409438
1996-10-01,0.1975889225819043
1997-01-01,-0.05153811971509792
1997-04-01,-0.08144977242638751
1997-07-01,0.03244061435017853
1997-10-01,0.21590687754231785
1998-01-01,-0.06033410633683833
1998-04-01,-0.11331440605136389
1998-07-01,0.05009041154987037
1998-10-01,0.23384474951094547
1999-01-01,-0.0433017454750223
1999-04-01,-0.08112277785064859
1999-07-01,0.0397716538363293
1999-10-01,0.24407724922465923
2000-01-01,-0.0476146343097158
2000-04-01,-0.09244994320026567
2000-07-01,0.03183303961723283
2000-10-01,0.19112856071011985
2001-01-01,0.042031076936884126
2001-04-01,-0.10028337843128032
2001-07-01,0.04009410518705825
2001-10-01,0.2211917550727025
2002-01-01,-0.10874359627763441
2002-04-01,-0.09443843471186986
2002-07-01,0.08862561050855144
2002-10-01,0.1640793049065592
2003-01-01,0.0010344524670899968
2003-04-01,-0.10382951716273214
2003-07-01,0.07778038090022932
2003-10-01,0.11345209803724754
2004-01-01,0.0010264641285306908
2004-04-01,-0.09075117910940866
2004-07-01,0.0357620422312257
2004-10-01,0.15945909241138234
2005-01-01,-0.04330419733444102
2005-04-01,-0.03874753998716385
2005-07-01,0.04296210490438357
2005-10-01,0.14018429720144288
2006-01-01,-0.016753284659920764
2006-04-01,-0.05140645993246662
2006-07-01,0.03884861168265674
2006-10-01,0.15934650862548283
2007-01-01,-0.041412627151889536
2007-04-01,-0.06774056265981343
2007-07-01,0.037230329924891725
2007-10-01,0.14651549050243706
2008-01-01,-0.002125564787833323
2008-04-01,-0.021842153209521986
2008-07-01,0.029109398278604592
2008-10-01,-0.02011757172197559
2009-01-01,-0.023335823961509017
2009-04-01,-0.027153337046828874
2009-07-01,0.0284608155194761
2009-10-01,0.09493523159241368
2010-01-01,-0.04352664469573431
2010-04-01,-0.013903449669570023
2010-07-01,0.07626839339334857
2010-10-01,0.1144234433974467
2011-01-01,-0.049792931969576015
2011-04-01,0.011288515148620393
2011-07-01,0.05139011964493467
2011-10-01,0.09080142900531873
2012-01-01,0.021404603603155214
2012-04-01,-0.08214749476491368
2012-07-01,0.061522295342359756
2012-10-01,0.051375658688575854
2013-01-01,-0.04527065557282928
2013-04-01,0.005161448519414469
2013-07-01,0.07429207076869293
2013-10-01,0.03332971528217765
2014-01-01,-0.0010710305667561704
2014-04-01,-0.015045983741048596
2014-07-01,0.08640713847551074
2014-10-01,0.07916241402289703
2015-01-01,-0.052729481447765236
2015-04-01,0.02138643457743683
2015-07-01,0.0779144970961807
2015-10-01,0.10289000763413436
2016-01-01,-0.0612573842045393
2016-04-01,0.005935245001992495
2016-07-01,0.05248889124415723
2016-10-01,0.11565305965072814
2017-01-01,-0.006005075020066086
2017-04-01,-0.016469384335208836
2017-07-01,0.05617674945308737
2017-10-01,0.11031440987639551
2018-01-01,0.011370375938826172
2018-04-01,-0.021718063067988513
2018-07-01,0.04798322432492608
2018-10-01,0.11803276413306296
2019-01-01,-0.04612047289310284
2019-04-01,-0.014158740399297542
2019-07-01,0.08299960400743278
2019-10-01,0.07240064178985106
2020-01-01,-0.06879501279265066
2020-04-01,-0.148508236649306
2020-07-01,0.15158878348282556
2020-10-01,0.12800634021419
2021-01-01,-0.026266027578605744
2021-04-01,-0.03989068930358697
2021-07-01,0.007024799386940561
2021-10-01,0.24205051341420925
2022-01-01,0.0546387263811996
2022-04-01,0.035696485610823725
2022-07-01,0.1278437668682606
2022-10-01,0.16139674132741733
2023-01-01,-0.01007099533212219
2023-04-01,0.03434136716421743
2023-07-01,0.03209233132011846
2023-10-01,0.10999226913462579
2024-01-01,0.004676129294903575
2024-04-01,-0.016290671333837325
2024-07-01,0.07556888443124876
2024-10-01,0.08999163232753471
2025-01-01,-0.03539859858239913
2025-04-01,-0.008105488938474847
2025-07-01,0.08879255327651903
2025-10-01,0.09181268018288868
