t,unemployment_rate_ppt_change
1992-04-01,0.09999999999999964
1992-07-01,0.2999999999999998
1992-10-01,0.20000000000000018
1993-01-01,0.3000000000000007
1993-04-01,0.29999999999999893
1993-07-01,0.5
1993-10-01,0.5
1994-01-01,0.09999999999999964
1994-04-01,0.10000000000000142
1994-07-01,-0.20000000000000107
1994-10-01,-0.1999999999999993
1995-01-01,-0.20000000000000107
1995-04-01,0.10000000000000142
1995-07-01,0.1999999999999993
1995-10-01,0.1999999999999993
1996-01-01,0.40000000000000036
1996-04-01,0.20000000000000107
1996-07-01,0.09999999999999964
1996-10-01,0.29999999999999893
1997-01-01,0.5
1997-04-01,0.10000000000000142
1997-07-01,0.29999999999999893
1997-10-01,0.09999999999999964
1998-01-01,-0.09999999999999964
1998-04-01,-0.40000000000000036
1998-07-01,-0.3999999999999986
1998-10-01,-0.10000000000000142
1999-01-01,0.0
1999-04-01,-0.1999999999999993
1999-07-01,0.0
1999-10-01,-0.09999999999999964
2000-01-01,-0.3000000000000007
2000-04-01,-0.5
2000-07-01,-0.09999999999999964
2000-10-01,-0.1999999999999993
2001-01-01,0.0
2001-04-01,-0.10000000000000142
2001-07-01,0.10000000000000142
2001-10-01,0.1999999999999993
2002-01-01,0.09999999999999964
2002-04-01,0.0
2002-07-01,0.20000000000000107
2002-10-01,0.1999999999999993
2003-01-01,0.40000000000000036
2003-04-01,0.1999999999999993
2003-07-01,-0.09999999999999964
2003-10-01,0.0
2004-01-01,-0.09999999999999964
2004-04-01,0.09999999999999964
2004-07-01,0.09999999999999964
2004-10-01,0.20000000000000107
2005-01-01,1.0999999999999996
2005-04-01,0.0
2005-07-01,-0.20000000000000107
2005-10-01,-0.29999999999999893
2006-01-01,0.0
2006-04-01,-0.40000000000000036
2006-07-01,-0.5
2006-10-01,-0.40000000000000036
2007-01-01,-0.5999999999999996
2007-04-01,-0.40000000000000036
2007-07-01,-0.29999999999999893
2007-10-01,-0.3000000000000007
2008-01-01,-0.5
2008-04-01,-0.20000000000000018
2008-07-01,-0.09999999999999964
2008-10-01,-0.10000000000000053
2009-01-01,0.3000000000000007
2009-04-01,0.40000000000000036
2009-07-01,-0.10000000000000142
2009-10-01,-0.09999999999999964
2010-01-01,-0.09999999999999964
2010-04-01,-0.2999999999999998
2010-07-01,-0.20000000000000018
2010-10-01,-0.09999999999999964
2011-01-01,-0.10000000000000053
2011-04-01,-0.20000000000000018
2011-07-01,-0.09999999999999964
2011-10-01,-0.20000000000000018
2012-01-01,0.0
2012-04-01,0.0
2012-07-01,0.0
2012-10-01,0.0
2013-01-01,0.10000000000000053
2013-04-01,0.0
2013-07-01,-0.10000000000000053
2013-10-01,0.0
2014-01-01,0.0
2014-04-01,-0.09999999999999964
2014-07-01,0.0
2014-10-01,-0.10000000000000053
2015-01-01,-0.09999999999999964
2015-04-01,-0.09999999999999964
2015-07-01,0.0
2015-10-01,-0.10000000000000053
2016-01-01,-0.09999999999999964
2016-04-01,-0.10000000000000053
2016-07-01,-0.09999999999999964
2016-10-01,0.0
2017-01-01,-0.09999999999999964
2017-04-01,-0.20000000000000018
2017-07-01,-0.10000000000000053
2017-10-01,-0.09999999999999964
2018-01-01,-0.09999999999999964
2018-04-01,-0.20000000000000018
2018-07-01,-0.10000000000000053
2018-10-01,-0.09999999999999964
2019-01-01,0.0
2019-04-01,0.0
2019-07-01,0.0
2019-10-01,0.0
2020-01-01,0.0
2020-04-01,1.0999999999999996
2020-07-01,0.20000000000000018
2020-10-01,-0.20000000000000018
2021-01-01,-0.09999999999999964
2021-04-01,-0.09999999999999964
2021-07-01,-0.40000000000000036
2021-10-01,-0.20000000000000018
2022-01-01,-0.20000000000000018
2022-04-01,0.0
2022-07-01,0.3000000000000007
2022-10-01,0.09999999999999964
2023-01-01,0.0
2023-04-01,0.09999999999999964
2023-07-01,0.10000000000000053
2023-10-01,0.09999999999999964
2024-01-01,0.10000000000000053
2024-04-01,0.0
2024-07-01,0.09999999999999964
2024-10-01,0.09999999999999964
2025-01-01,0.10000000000000053
2025-04-01,0.09999999999999964
2025-07-01,0.0
2025-10-01,0.0
