"";BBNZ1.Q.DE.N.G.0325.A;BBNZ1.Q.DE.N.G.0325.A_FLAGS
"";Deutschland / Konto der privaten Haushalte / Verfügbares Einkommen inkl. Zunahme betrieblicher Versorgungsansprüche / In jeweiligen Preisen;
Dezimalstellen;3;
Dimension;Milliarden;
Einheit;Euro;
Format der Zeitangabe;P3M;
Kategorie;GRVG;
Stand vom;25.02.2026 08:08:33 Uhr;
1991-Q1;252,468;
1991-Q2;250,991;
1991-Q3;248,481;
1991-Q4;268,554;
1992-Q1;273,450;
1992-Q2;266,762;
1992-Q3;269,766;
1992-Q4;285,478;
1993-Q1;283,291;
1993-Q2;277,695;
1993-Q3;278,012;
1993-Q4;295,317;
1994-Q1;293,458;
1994-Q2;284,614;
1994-Q3;287,728;
1994-Q4;303,323;
1995-Q1;298,791;
1995-Q2;293,180;
1995-Q3;295,096;
1995-Q4;309,156;
1996-Q1;307,620;
1996-Q2;298,180;
1996-Q3;299,551;
1996-Q4;313,363;
1997-Q1;309,245;
1997-Q2;302,746;
1997-Q3;305,172;
1997-Q4;320,457;
1998-Q1;315,510;
1998-Q2;306,165;
1998-Q3;309,929;
1998-Q4;326,646;
1999-Q1;323,051;
1999-Q2;316,290;
1999-Q3;319,389;
1999-Q4;337,312;
2000-Q1;333,223;
2000-Q2;325,239;
2000-Q3;327,797;
2000-Q4;342,448;
2001-Q1;345,991;
2001-Q2;336,970;
2001-Q3;340,298;
2001-Q4;357,730;
2002-Q1;347,581;
2002-Q2;339,067;
2002-Q3;346,342;
2002-Q4;359,750;
2003-Q1;359,843;
2003-Q2;350,115;
2003-Q3;356,733;
2003-Q4;366,447;
2004-Q1;366,541;
2004-Q2;357,926;
2004-Q3;361,084;
2004-Q4;374,690;
2005-Q1;370,566;
2005-Q2;366,923;
2005-Q3;370,802;
2005-Q4;383,165;
2006-Q1;381,550;
2006-Q2;376,549;
2006-Q3;380,154;
2006-Q4;394,469;
2007-Q1;390,320;
2007-Q2;383,535;
2007-Q3;387,056;
2007-Q4;400,515;
2008-Q1;400,302;
2008-Q2;398,098;
2008-Q3;400,964;
2008-Q4;398,932;
2009-Q1;396,584;
2009-Q2;393,864;
2009-Q3;396,637;
2009-Q4;405,733;
2010-Q1;401,244;
2010-Q2;399,842;
2010-Q3;407,257;
2010-Q4;418,438;
2011-Q1;413,129;
2011-Q2;414,290;
2011-Q3;419,513;
2011-Q4;428,728;
2012-Q1;431,004;
2012-Q2;421,866;
2012-Q3;428,210;
2012-Q4;433,607;
2013-Q1;428,614;
2013-Q2;429,166;
2013-Q3;436,924;
2013-Q4;440,520;
2014-Q1;440,402;
2014-Q2;438,736;
2014-Q3;447,921;
2014-Q4;456,534;
2015-Q1;450,393;
2015-Q2;452,782;
2015-Q3;461,355;
2015-Q4;472,790;
2016-Q1;465,377;
2016-Q2;466,066;
2016-Q3;472,065;
2016-Q4;485,159;
2017-Q1;484,429;
2017-Q2;482,422;
2017-Q3;489,059;
2017-Q4;502,022;
2018-Q1;503,443;
2018-Q2;500,687;
2018-Q3;506,588;
2018-Q4;520,917;
2019-Q1;514,804;
2019-Q2;512,972;
2019-Q3;523,300;
2019-Q4;532,525;
2020-Q1;523,120;
2020-Q2;502,512;
2020-Q3;520,560;
2020-Q4;536,474;
2021-Q1;532,916;
2021-Q2;527,520;
2021-Q3;528,444;
2021-Q4;557,871;
2022-Q1;565,340;
2022-Q2;570,319;
2022-Q3;587,733;
2022-Q4;610,134;
2023-Q1;608,592;
2023-Q2;613,751;
2023-Q3;618,617;
2023-Q4;634,968;
2024-Q1;635,709;
2024-Q2;633,104;
2024-Q3;644,740;
2024-Q4;658,780;
2025-Q1;652,871;
2025-Q2;651,544;
2025-Q3;665,549;
2025-Q4;680,326;
