"";BBDL1.Q.DE.Y.EMP.EAA000.A0000.A00.D10.0.ABA.A;BBDL1.Q.DE.Y.EMP.EAA000.A0000.A00.D10.0.ABA.A_FLAGS
"";Erwerbstätige gemäß ESVG 2010 / Deutschland / Insgesamt / absolute Angabe / kalender- und saisonbereinigt;
Dezimalstellen;0;
Dimension;Tausend;
Einheit;Anzahl;
Format der Zeitangabe;P3M;
Kategorie;KPBA;
Quelle;Saisonbereinigung basierend auf Ursprungswerten des Statistischen Bundesamts.;
Umrechnungsart;Durchschnitt;
Stand vom;27.02.2026 10:05:21 Uhr;
1991-Q1;39188;
1991-Q2;39000;
1991-Q3;38667;
1991-Q4;38638;
1992-Q1;38571;
1992-Q2;38467;
1992-Q3;38295;
1992-Q4;38116;
1993-Q1;38052;
1993-Q2;37886;
1993-Q3;37784;
1993-Q4;37732;
1994-Q1;37838;
1994-Q2;37820;
1994-Q3;37885;
1994-Q4;37970;
1995-Q1;38004;
1995-Q2;38031;
1995-Q3;38036;
1995-Q4;38099;
1996-Q1;38050;
1996-Q2;38115;
1996-Q3;38060;
1996-Q4;38013;
1997-Q1;37952;
1997-Q2;38023;
1997-Q3;38093;
1997-Q4;38103;
1998-Q1;38175;
1998-Q2;38392;
1998-Q3;38632;
1998-Q4;38794;
1999-Q1;38881;
1999-Q2;38901;
1999-Q3;39245;
1999-Q4;39470;
2000-Q1;39852;
2000-Q2;39985;
2000-Q3;40035;
2000-Q4;40031;
2001-Q1;39929;
2001-Q2;39904;
2001-Q3;39809;
2001-Q4;39818;
2002-Q1;39839;
2002-Q2;39763;
2002-Q3;39618;
2002-Q4;39476;
2003-Q1;39361;
2003-Q2;39192;
2003-Q3;39214;
2003-Q4;39214;
2004-Q1;39328;
2004-Q2;39416;
2004-Q3;39381;
2004-Q4;39352;
2005-Q1;39262;
2005-Q2;39244;
2005-Q3;39336;
2005-Q4;39444;
2006-Q1;39298;
2006-Q2;39530;
2006-Q3;39733;
2006-Q4;39868;
2007-Q1;40075;
2007-Q2;40220;
2007-Q3;40344;
2007-Q4;40489;
2008-Q1;40753;
2008-Q2;40799;
2008-Q3;40889;
2008-Q4;40971;
2009-Q1;41012;
2009-Q2;40899;
2009-Q3;40845;
2009-Q4;40867;
2010-Q1;40906;
2010-Q2;41059;
2010-Q3;41169;
2010-Q4;41269;
2011-Q1;41378;
2011-Q2;41515;
2011-Q3;41634;
2011-Q4;41761;
2012-Q1;41911;
2012-Q2;42016;
2012-Q3;42116;
2012-Q4;42225;
2013-Q1;42279;
2013-Q2;42314;
2013-Q3;42415;
2013-Q4;42511;
2014-Q1;42647;
2014-Q2;42741;
2014-Q3;42801;
2014-Q4;42843;
2015-Q1;42920;
2015-Q2;43075;
2015-Q3;43212;
2015-Q4;43347;
2016-Q1;43457;
2016-Q2;43615;
2016-Q3;43756;
2016-Q4;43924;
2017-Q1;44054;
2017-Q2;44219;
2017-Q3;44379;
2017-Q4;44513;
2018-Q1;44692;
2018-Q2;44834;
2018-Q3;44946;
2018-Q4;45048;
2019-Q1;45171;
2019-Q2;45281;
2019-Q3;45322;
2019-Q4;45396;
2020-Q1;45422;
2020-Q2;44817;
2020-Q3;44782;
2020-Q4;44850;
2021-Q1;44817;
2021-Q2;44921;
2021-Q3;45141;
2021-Q4;45286;
2022-Q1;45476;
2022-Q2;45595;
2022-Q3;45672;
2022-Q4;45775;
2023-Q1;45883;
2023-Q2;45941;
2023-Q3;45951;
2023-Q4;45967;
2024-Q1;45978;
2024-Q2;45998;
2024-Q3;45978;
2024-Q4;45995;
2025-Q1;46018;
2025-Q2;46008;
2025-Q3;45966;
2025-Q4;45937;
