"";BBDL1.Q.DE.Y.VAC.VBA000.A0000.A00.D00.0.ABA.A;BBDL1.Q.DE.Y.VAC.VBA000.A0000.A00.D00.0.ABA.A_FLAGS
"";Gemeldete Arbeitsstellen insgesamt / Deutschland / Insgesamt / absolute Angabe / kalender- und saisonbereinigt;
Dezimalstellen;0;
Dimension;Tausend;
Einheit;Anzahl;
Format der Zeitangabe;P3M;
Kategorie;KPBA;
Quelle;Saisonbereinigung basierend auf Ursprungswerten der Bundesagentur für Arbeit.;
Umrechnungsart;Durchschnitt;
Stand vom;27.02.2026 10:05:22 Uhr;
2000-Q1;429;
2000-Q2;447;
2000-Q3;458;
2000-Q4;467;
2001-Q1;464;
2001-Q2;441;
2001-Q3;424;
2001-Q4;405;
2002-Q1;397;
2002-Q2;394;
2002-Q3;367;
2002-Q4;338;
2003-Q1;309;
2003-Q2;278;
2003-Q3;257;
2003-Q4;236;
2004-Q1;217;
2004-Q2;204;
2004-Q3;204;
2004-Q4;202;
2005-Q1;220;
2005-Q2;245;
2005-Q3;269;
2005-Q4;286;
2006-Q1;301;
2006-Q2;337;
2006-Q3;372;
2006-Q4;404;
2007-Q1;430;
2007-Q2;433;
2007-Q3;420;
2007-Q4;408;
2008-Q1;397;
2008-Q2;394;
2008-Q3;393;
2008-Q4;371;
2009-Q1;331;
2009-Q2;294;
2009-Q3;284;
2009-Q4;296;
2010-Q1;314;
2010-Q2;346;
2010-Q3;377;
2010-Q4;400;
2011-Q1;433;
2011-Q2;460;
2011-Q3;476;
2011-Q4;496;
2012-Q1;494;
2012-Q2;489;
2012-Q3;474;
2012-Q4;454;
2013-Q1;461;
2013-Q2;451;
2013-Q3;455;
2013-Q4;461;
2014-Q1;469;
2014-Q2;481;
2014-Q3;496;
2014-Q4;514;
2015-Q1;534;
2015-Q2;555;
2015-Q3;577;
2015-Q4;608;
2016-Q1;631;
2016-Q2;649;
2016-Q3;662;
2016-Q4;678;
2017-Q1;694;
2017-Q2;714;
2017-Q3;741;
2017-Q4;771;
2018-Q1;785;
2018-Q2;793;
2018-Q3;803;
2018-Q4;804;
2019-Q1;806;
2019-Q2;795;
2019-Q3;768;
2019-Q4;728;
2020-Q1;706;
2020-Q2;594;
2020-Q3;564;
2020-Q4;595;
2021-Q1;606;
2021-Q2;659;
2021-Q3;749;
2021-Q4;805;
2022-Q1;843;
2022-Q2;864;
2022-Q3;853;
2022-Q4;819;
2023-Q1;796;
2023-Q2;768;
2023-Q3;747;
2023-Q4;734;
2024-Q1;724;
2024-Q2;699;
2024-Q3;682;
2024-Q4;673;
2025-Q1;655;
2025-Q2;634;
2025-Q3;615;
2025-Q4;624;
